Make,Model,Kilometer,Fuel Type,Transmission,Location,Owner,Seller Type,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Car_Age,Engine (cc),Max Power (BHP),Max Power (RPM)
19,814,140000,2,1,74,1,2,1,3850,1695,1530,5,42,8,1248,74,4000
7,923,23798,6,1,1,1,2,1,3999,1734,1601,5,40,8,1199,89,6000
7,222,55000,6,1,36,1,2,1,4420,1695,1480,5,42,14,1497,118,6600
31,884,51000,6,0,61,1,2,1,4384,1699,1466,5,55,8,1197,103,5000
7,144,49000,6,1,15,3,2,1,3610,1680,1500,5,35,11,1198,87,6000
25,338,48000,6,1,45,1,2,1,4315,1822,1695,5,50,8,1498,105,5600
1,16,121000,2,0,32,1,2,2,4899,2094,1464,5,52,12,1995,184,4000
6,452,74000,2,1,27,1,2,1,4291,1722,1496,5,43,12,1498,89,3750
18,995,102000,2,1,45,3,2,1,4585,1890,1785,7,70,13,2179,140,3750
1,23,32000,6,0,45,1,2,2,4936,1868,1479,5,57,7,1998,248,5200
29,614,48400,3,0,6,1,2,1,3993,1811,1606,5,52,5,1692,129,4835
29,737,97000,2,1,3,1,2,2,4655,1965,1922,7,55,12,2179,138,4000
12,777,16000,6,0,36,1,2,1,4315,1800,1645,5,50,4,1353,138,6000
24,181,55700,2,0,50,1,1,0,4855,1939,1705,5,85,9,2967,241,3800
1,962,80000,2,0,68,1,2,0,4922,2004,1745,5,80,8,2993,262,4000
6,370,115000,2,1,56,1,2,1,3999,1765,1708,5,52,11,1498,89,3750
8,512,74000,6,1,1,1,2,1,3805,1680,1520,5,37,5,1197,82,6000
8,402,61000,2,1,1,1,2,1,3985,1734,1505,5,45,10,1396,89,4000
30,268,104814,6,1,45,1,2,1,4540,1760,1480,5,55,11,1798,138,6400
8,380,17000,6,1,56,1,2,1,4530,1775,1470,5,56,12,1797,147,6500
0,657,60000,2,0,15,3,2,0,4385,1831,1608,5,64,10,1968,174,4200
19,813,45000,6,1,15,1,2,1,3850,1695,1530,5,42,9,1197,83,6000
18,983,75811,2,1,6,1,2,1,4585,1890,1785,7,70,9,2179,138,3750
18,838,3813,6,1,11,1,2,0,3985,1820,1855,4,57,4,1997,150,5000
19,818,64928,6,1,45,1,2,1,3850,1695,1530,5,42,9,1197,83,6000
19,309,68500,2,1,73,1,2,1,3995,1735,1515,5,37,7,1248,74,4000
30,464,85000,2,0,15,1,2,2,4705,1840,1850,7,80,11,2982,169,3600
1,14,41296,2,0,45,1,2,2,4899,2094,1464,5,65,8,1995,190,4000
7,109,72567,2,1,65,1,2,1,3990,1680,1505,5,35,12,1498,99,3600
19,938,4295,6,1,65,1,2,1,3636,1475,1670,5,35,5,998,67,6200
19,918,82000,2,1,1,1,2,1,3995,1790,1640,5,48,7,1248,89,4000
19,801,33000,6,1,45,1,2,1,4160,1690,1530,5,43,15,1298,87,6000
5,597,54000,6,1,49,1,2,1,4560,1730,1487,5,45,14,1368,90,6000
8,302,68000,2,1,32,1,2,1,4270,1780,1665,5,55,7,1582,126,4000
7,245,8530,6,0,56,5,2,1,4549,1748,1489,5,40,3,1498,119,6600
8,866,46000,6,0,15,1,2,1,4475,1850,1660,5,62,7,1999,153,6200
30,563,26000,6,1,15,1,2,2,4735,1830,1795,7,65,5,2694,164,5200
0,825,39394,6,0,29,3,2,0,4198,1842,1353,2,60,11,1984,208,4300
29,853,35000,6,0,54,1,2,1,3746,1647,1535,5,35,7,1199,84,6000
19,818,17881,6,1,59,1,2,1,3850,1695,1530,5,42,6,1197,83,6000
7,227,48409,6,1,59,3,2,1,4440,1695,1495,5,40,11,1497,117,6600
19,81,40000,6,1,16,1,2,1,3395,1490,1475,5,35,5,796,47,6000
0,657,61643,2,0,14,1,2,0,4385,1831,1608,5,64,8,1968,174,4200
21,164,21000,6,0,24,3,2,2,4686,1810,1409,4,59,5,1991,241,5500
29,619,1500,6,1,36,1,2,1,3993,1811,1606,5,44,3,1199,118,5500
6,360,38985,2,1,51,1,2,1,3998,1765,1647,5,52,11,1498,99,3750
7,573,52000,6,1,51,1,2,1,3955,1694,1544,5,40,10,1199,89,6000
8,1034,42000,6,1,56,1,2,1,3585,1595,1550,5,35,14,1197,79,6000
7,104,29442,6,0,45,1,2,1,3990,1680,1505,5,35,11,1198,87,6000
11,253,71800,2,1,39,1,2,1,4395,1818,1640,5,60,8,1956,171,3750
21,155,5000,6,0,15,1,2,2,4686,1810,1442,5,66,3,1497,181,5800
8,515,18000,0,1,21,1,2,1,3805,1680,1520,5,60,5,1197,68,6000
30,461,37000,2,0,15,1,2,2,4795,1855,1835,7,80,7,2755,174,3400
7,222,85000,6,1,44,3,2,1,4420,1695,1480,5,42,16,1497,118,6600
8,1004,65555,2,1,73,3,2,1,3995,1660,1520,5,43,7,1186,74,4000
14,449,35000,2,0,15,1,2,0,4371,1996,1649,5,66,4,1999,177,4000
1,952,87000,2,0,58,1,2,0,4657,1881,1678,5,67,7,1995,190,4000
8,284,42000,6,0,36,1,2,1,4270,1780,1630,5,60,7,1591,122,6400
18,762,68000,2,1,40,3,2,0,4456,1820,1995,7,60,7,2179,140,3750
16,119,600,6,1,36,1,2,1,4323,1809,1650,5,48,3,1498,108,6000
29,522,192326,2,1,59,4,2,1,4421,1780,1940,7,65,14,2179,120,4000
30,545,82000,6,1,73,5,2,1,4555,1770,1755,8,55,12,1998,136,5600
30,440,86006,2,1,24,1,2,1,3884,1695,1510,5,45,8,1364,67,3800
7,232,75000,2,1,32,1,2,1,4440,1695,1495,5,40,11,1498,99,3600
18,760,99000,2,1,40,1,2,2,4456,1820,1995,8,60,11,2179,120,4000
27,795,21651,6,0,45,1,2,1,4861,1864,1483,5,66,4,1798,177,5100
8,1038,84000,2,1,5,1,2,1,3995,1760,1555,5,45,9,1396,89,4000
21,600,65000,2,0,10,3,2,0,4804,2141,1796,5,70,11,2997,254,3600
19,218,31000,6,0,45,1,2,1,4490,1730,1485,5,43,8,1373,91,6000
21,347,17000,2,0,67,1,2,2,5063,1860,1494,5,80,3,1950,192,3800
18,839,28000,2,1,15,1,2,0,3985,1820,1920,6,57,5,2184,130,3750
7,228,64000,2,1,58,1,2,1,4440,1695,1495,5,40,10,1498,99,3600
7,232,85000,2,1,29,1,2,1,4440,1695,1495,5,40,11,1498,99,3600
19,126,35000,6,0,45,4,2,1,3995,1745,1500,5,37,8,1197,83,6000
32,869,44000,2,0,45,1,2,1,4370,1783,1458,5,60,10,1984,150,3500
19,190,32000,6,0,11,3,2,1,3715,1635,1565,5,35,8,998,67,6000
19,927,49857,6,1,20,1,2,1,3599,1495,1700,5,35,9,998,67,6200
19,938,46000,6,1,73,1,2,1,3636,1475,1670,5,35,12,998,67,6200
19,936,50000,6,1,73,3,2,1,3520,1475,1690,5,35,17,1061,67,6200
19,130,36000,6,0,76,1,2,1,3995,1745,1500,5,37,8,1197,83,6000
25,581,13000,6,0,14,1,2,1,3991,1750,1605,5,40,4,999,99,5000
19,942,40000,6,1,32,1,2,1,3655,1620,1675,5,32,7,1692,129,4835
21,341,39000,6,0,40,4,2,1,4280,1767,1591,5,52,18,1692,129,4835
8,412,45000,6,1,11,1,2,1,3515,1500,1510,5,32,12,998,68,6200
19,83,87513,6,1,64,3,2,1,3495,1475,1460,5,35,14,796,47,6200
21,712,26000,6,0,15,1,2,2,5226,2120,1479,5,90,14,3498,272,6300
19,729,3800,0,1,15,1,2,1,3565,1520,1564,4,55,3,998,58,5500
30,549,35123,2,1,54,1,2,2,4735,1830,1795,8,55,7,2393,148,3400
12,778,21000,2,0,15,1,2,1,4315,1800,1645,5,50,4,1493,114,4000
8,293,2670,6,0,36,1,2,1,4300,1790,1635,5,50,3,1497,113,6300
27,692,124000,2,1,12,1,2,1,4386,1699,1466,5,55,9,1598,105,4400
8,386,9889,6,1,6,1,2,1,3985,1734,1505,5,45,9,1197,82,6000
7,245,13000,6,0,15,1,2,1,4440,1695,1495,5,40,4,1497,118,6600
29,621,35000,6,0,11,1,2,1,3994,1811,1607,5,44,7,1198,108,5000
19,133,51145,6,1,48,1,2,1,3995,1745,1500,5,37,8,1197,83,6000
21,486,13000,2,0,45,1,2,0,5130,1934,1850,7,100,6,2987,255,3400
0,681,56000,6,0,56,4,2,0,4649,1860,1366,5,64,14,4163,444,8250
30,554,120000,2,1,59,1,2,1,4280,1767,1591,5,52,15,1692,129,4835
21,478,45000,2,0,45,1,2,0,4656,1890,1639,5,66,7,2143,168,3000
27,794,82900,2,0,12,1,2,1,4861,1864,1483,5,66,8,1968,174,3600
19,77,56843,1,1,50,3,2,1,3395,1490,1475,5,35,11,796,47,6000
6,454,64000,6,1,56,1,2,1,3795,1680,1427,5,45,10,1196,70,6250
19,312,9644,6,0,56,1,2,1,3995,1735,1515,5,37,6,1197,82,6000
19,192,41624,6,0,56,3,2,1,3695,1600,1560,5,35,8,998,67,6000
8,521,82844,2,1,27,1,2,1,3765,1660,1520,5,43,9,1186,74,4000
21,356,78000,6,0,40,3,2,2,4868,1854,1471,5,80,14,2497,204,6100
25,338,60444,6,1,6,1,2,1,4315,1822,1695,5,50,8,1498,105,5600
1,10,6000,6,0,58,1,2,2,4633,1811,1429,5,57,3,1998,248,5200
18,760,125000,2,1,39,1,2,2,4456,1820,1995,8,60,11,2179,120,4000
8,284,13000,6,0,45,1,2,1,4270,1780,1630,5,60,6,1591,122,6400
19,421,112000,2,1,11,1,2,1,4265,1695,1685,7,45,10,1248,89,4000
19,705,54948,2,1,41,1,2,1,3715,1680,1620,5,43,13,1248,75,4000
8,509,53300,6,1,56,1,2,1,3765,1660,1520,5,43,9,1197,81,6000
7,230,34000,6,1,15,1,2,1,4440,1695,1495,5,40,6,1497,117,6600
21,715,21000,6,0,24,1,2,2,5462,1899,1498,4,70,4,3982,463,5250
14,445,25500,2,0,56,3,2,0,4360,2120,1635,5,57,8,1999,177,4000
18,996,157662,2,1,29,3,2,1,4585,1890,1785,7,70,10,1997,138,3750
21,168,20000,2,0,45,1,2,1,4630,1777,1432,5,56,7,2143,136,3200
8,1009,78900,2,1,71,1,2,1,3995,1660,1520,5,43,7,1120,71,4000
19,934,52000,0,1,45,1,2,1,3539,1475,1700,5,35,14,998,59,6200
21,347,11000,2,0,15,1,2,2,5063,1860,1494,5,80,3,1950,192,3800
27,584,103000,2,0,15,1,2,1,4697,1882,1665,7,63,7,1692,129,4835
29,539,95785,2,0,27,1,2,2,4788,1903,1791,7,60,8,2179,154,4000
6,366,92000,2,1,0,1,2,1,3998,1765,1647,5,52,8,1498,99,3750
10,450,43000,2,0,15,1,2,0,4731,2071,1651,5,82,6,1999,177,4000
21,166,39328,2,0,36,1,2,1,4630,1777,1432,5,56,8,2143,134,3600
30,551,18625,2,0,45,1,2,2,4735,1830,1795,7,55,5,2393,148,3400
19,818,26000,6,1,39,1,2,1,3850,1695,1530,5,42,6,1197,83,6000
17,275,81000,2,0,53,3,2,1,4097,1789,1561,5,47,11,1995,112,4835
19,313,92000,2,0,40,1,2,1,3995,1735,1515,5,37,7,1248,74,4000
18,764,38000,2,1,54,1,2,2,4456,1820,1930,7,60,6,2523,75,3200
29,605,93000,6,1,70,3,2,1,4413,1703,1550,5,44,13,1368,90,6000
19,937,10340,6,1,15,1,2,1,3599,1495,1700,5,35,6,998,67,6200
0,653,47706,2,0,59,1,2,0,4385,1831,1608,5,64,10,1968,174,4200
19,979,13400,6,1,47,1,2,1,4445,1775,1700,6,45,4,1462,103,6000
6,116,44613,2,1,59,1,2,1,3995,1695,1525,5,40,9,1498,99,3750
24,29,7000,6,0,20,1,2,2,4379,1801,1295,2,54,8,1988,295,6500
19,818,29000,6,1,36,1,2,1,3850,1695,1530,5,42,6,1197,83,6000
1,4,23000,2,0,45,1,1,2,4633,1811,1429,5,57,5,1995,188,4000
19,929,67580,0,1,56,1,2,1,3599,1495,1700,5,35,10,998,58,6200
8,896,42000,6,1,36,1,2,1,4375,1700,1475,5,43,10,1591,121,6300
8,413,16205,6,1,56,1,2,1,3515,1550,1510,5,32,10,998,68,6200
19,500,92000,6,0,44,4,2,0,4470,1810,1695,5,66,18,1995,120,5500
8,506,29000,6,0,45,1,2,1,3765,1660,1520,5,43,9,1197,79,6000
21,483,14000,2,0,15,1,2,0,4924,2157,1772,5,93,3,1950,241,4200
18,830,69000,2,0,15,1,2,2,3995,1835,1839,7,60,8,1493,100,3750
7,235,114635,2,1,36,1,2,1,4440,1695,1495,5,40,10,1498,99,3600
1,948,50000,2,0,15,3,2,2,4454,2044,1545,5,63,7,1995,184,4000
1,948,29221,2,0,6,1,2,2,4454,2044,1545,5,63,6,1995,184,4000
21,709,158000,6,0,11,1,2,1,4280,1767,1591,5,52,13,1692,129,4835
0,57,77000,2,0,45,3,2,1,4915,1874,1455,5,65,13,1968,177,3750
21,480,5500,2,0,27,5,2,0,4658,1890,1644,5,66,3,1950,192,3800
1,7,70000,2,0,45,3,2,2,4624,2031,1429,5,60,12,1995,184,4000
1,960,65341,2,0,56,3,2,0,4886,1938,1762,5,52,8,2993,258,4000
7,242,32000,6,0,15,1,2,1,4549,1748,1489,5,40,3,1498,119,6600
4,11,9500,6,0,15,1,2,2,4568,1952,1213,2,78,7,3902,660,8000
31,862,17904,2,0,45,1,2,0,4486,1839,1672,5,71,5,1968,141,4000
14,446,95000,2,0,12,1,2,0,4355,2120,1635,5,57,13,2179,190,3500
19,934,72000,0,1,45,1,2,1,3539,1475,1700,5,35,12,998,59,6200
19,1018,65082,6,1,36,1,2,1,4280,1767,1591,5,52,21,1692,129,4835
7,144,66240,6,1,29,4,2,1,4280,1767,1591,5,52,13,1692,129,4835
21,485,25275,6,0,27,1,2,0,4891,2003,1719,5,93,7,2996,362,5500
19,928,67850,0,1,45,1,2,1,3599,1495,1700,5,35,9,998,58,6200
29,613,60000,6,1,24,1,2,2,3099,1495,1652,4,15,15,624,35,5250
18,141,88500,2,1,52,3,2,1,4280,1767,1591,5,52,13,1692,129,4835
19,814,105000,2,1,56,1,1,1,3850,1695,1530,5,42,8,1248,74,4000
8,299,45000,6,0,58,1,2,1,4270,1780,1665,5,55,6,1591,122,6400
21,346,8000,2,0,6,1,2,2,5063,1860,1494,5,80,4,1950,192,3800
30,271,38000,6,0,45,1,1,1,4620,1775,1475,5,55,7,1798,138,6400
19,724,55055,2,1,40,1,2,1,4300,1785,1595,5,48,5,1248,89,4000
19,133,22000,6,1,58,1,2,1,3995,1745,1500,5,37,4,1197,83,6000
22,630,95000,2,1,6,3,2,0,4695,1815,1840,7,70,12,2477,176,4000
19,821,25704,6,1,45,1,2,1,3850,1695,1530,5,42,11,1197,85,6000
19,802,55353,2,1,32,3,2,1,3995,1695,1555,5,42,9,1248,74,4000
0,656,80000,2,0,11,1,2,0,4385,1831,1608,5,64,10,1968,174,4200
31,882,62000,6,0,20,1,1,1,4390,1699,1467,5,55,7,1197,103,5000
6,409,41526,2,0,12,1,2,0,4892,1860,1837,7,80,6,3198,197,3000
29,852,29434,6,1,36,3,2,1,3746,1647,1535,5,35,7,1047,69,4000
3,497,42000,6,1,39,1,2,1,3785,1635,1485,5,35,8,1198,67,5000
12,781,14000,6,1,15,1,2,1,4315,1800,1645,5,50,4,1497,114,6300
1,7,35000,2,0,36,1,2,2,4624,2031,1429,5,60,11,1995,184,4000
21,158,75000,2,0,45,3,2,1,4280,1767,1591,5,52,13,1692,129,4835
13,540,6000,6,0,15,1,2,0,4459,1924,1165,2,52,9,5204,602,8250
21,474,61000,2,0,45,3,2,1,4424,1804,1494,5,50,7,2143,134,3600
21,471,45000,2,0,39,1,2,1,4417,1804,1494,5,50,10,2143,134,3600
21,157,31000,2,0,15,1,2,2,4686,1810,1442,5,66,6,1950,192,3800
8,400,39000,6,1,45,1,2,1,3995,1775,1505,5,37,5,1197,82,6000
19,434,52000,6,1,56,1,2,1,3600,1495,1595,5,35,13,998,67,6200
19,934,54000,0,1,45,1,2,1,3539,1475,1700,5,35,14,998,59,6200
8,415,51000,6,1,32,1,2,1,3495,1550,1500,5,32,7,814,55,5500
19,89,72000,6,1,32,1,2,1,3545,1490,1475,5,35,14,998,67,6000
19,83,65000,6,1,39,1,2,1,3495,1475,1460,5,35,14,796,47,6200
21,483,50000,2,0,50,1,2,0,4924,2157,1772,5,93,5,1950,241,4200
0,657,80251,2,0,15,3,2,0,4385,1831,1608,5,64,9,1968,174,4200
8,1031,86000,6,1,11,3,2,1,3565,1595,1550,5,35,15,1197,80,5200
19,76,42505,6,1,57,1,2,1,3395,1490,1475,5,35,11,796,47,6000
8,385,42000,6,1,54,1,2,1,3985,1734,1505,5,45,8,1197,82,6000
1,27,42200,2,0,45,1,2,2,5219,1902,1481,4,78,8,2993,262,4000
12,777,57600,6,0,11,1,2,1,4315,1800,1645,5,50,6,1353,138,6000
18,994,57000,2,1,39,1,2,1,4585,1890,1785,7,70,7,2179,153,3750
6,406,85000,2,0,76,1,2,0,5060,1788,1826,7,71,11,2953,154,3200
8,863,128000,2,0,56,3,1,1,4475,1850,1660,5,62,9,1995,182,4000
30,441,66000,6,1,15,1,2,1,4265,1695,1510,5,45,14,1496,80,5600
31,875,58000,6,1,10,1,2,1,4384,1699,1466,5,55,12,1598,103,5250
19,705,89445,2,1,27,1,2,1,3715,1680,1620,5,43,13,1248,75,4000
30,465,64120,2,1,15,3,2,2,4705,1840,1850,7,80,10,2982,169,3600
19,199,82300,6,1,56,1,2,1,4490,1730,1485,5,43,8,1373,91,6000
19,913,73000,2,1,39,1,2,1,3995,1790,1640,5,48,8,1248,89,4000
19,721,72000,2,1,39,1,2,1,4300,1765,1590,5,48,7,1598,118,3750
31,642,50197,6,1,56,1,2,1,3971,1682,1469,5,45,7,999,75,6200
7,100,44527,6,1,45,1,2,1,3990,1680,1505,5,35,11,1198,87,6000
0,55,72400,2,0,6,1,2,1,4726,1842,1427,5,54,8,1968,188,4200
6,371,50000,6,1,15,3,2,1,3999,1765,1708,5,52,11,1499,109,6300
7,239,37000,6,1,15,1,2,1,4440,1695,1495,5,40,11,1497,117,6600
21,488,20000,2,0,15,1,2,0,5207,2157,1823,7,90,4,2925,326,3600
29,528,8000,2,0,8,1,2,1,4598,1894,1706,5,50,5,1956,168,3750
1,12,69000,2,0,30,3,2,2,4899,2094,1464,5,65,11,1995,190,4000
1,948,25000,2,0,15,1,2,2,4454,2044,1545,5,63,6,1995,184,4000
1,948,17000,2,0,45,1,2,2,4454,2044,1545,5,63,3,1995,184,4000
7,222,61000,6,1,15,1,2,1,4440,1695,1485,5,42,12,1497,116,6600
1,13,69000,2,0,15,1,2,2,4936,1868,1479,5,65,10,1995,188,4000
21,470,77000,2,0,11,3,2,0,5120,1934,1850,7,100,10,2987,258,3600
29,618,82200,2,1,56,1,2,1,3994,1811,1607,5,44,7,1497,108,3750
7,233,28000,6,1,15,1,2,1,4440,1695,1495,5,40,7,1497,117,6600
18,774,117000,2,1,64,3,2,0,4430,1817,1975,7,60,14,2179,122,4000
16,495,7900,2,0,27,1,2,0,4985,1926,1867,6,75,4,1996,215,4000
19,806,72000,6,1,32,1,2,1,4160,1690,1530,5,43,15,1298,87,6000
0,654,79000,2,0,1,3,2,0,4385,1831,1608,5,64,10,1968,174,4200
19,87,72600,6,1,52,1,2,1,3620,1475,1460,5,35,12,998,67,6200
3,698,42313,6,0,6,3,2,1,3429,1560,1541,5,28,7,999,67,5500
1,952,18000,2,0,15,1,2,0,4657,1881,1678,5,67,4,1995,190,4000
19,918,90000,2,1,27,1,2,1,3995,1790,1640,5,48,6,1248,89,4000
19,83,18500,6,1,39,1,2,1,3495,1475,1460,5,35,15,796,47,6200
19,309,36000,2,1,54,1,2,1,3995,1735,1515,5,37,8,1248,74,4000
8,893,26200,6,0,15,1,2,1,3995,1770,1605,5,45,5,998,118,6000
19,812,11000,6,1,11,3,2,1,3840,1735,1530,5,37,6,1197,82,6000
19,817,14366,6,1,1,1,2,1,3845,1735,1530,5,37,4,1197,89,6000
29,522,98000,2,1,45,1,2,1,4421,1780,1940,7,65,14,2179,120,4000
18,829,65000,2,1,15,3,2,2,3995,1835,1839,7,60,8,1493,84,3750
30,553,126000,2,1,15,1,2,2,4585,1760,1760,7,55,11,2494,100,3600
0,657,71700,2,0,50,3,2,0,4385,1831,1608,5,64,10,1968,174,4200
18,992,114000,2,1,39,1,2,1,4585,1890,1785,7,70,9,2179,138,3750
8,392,58339,2,1,52,1,2,1,3985,1734,1505,5,45,9,1396,89,4000
31,881,50667,6,0,45,3,2,1,4280,1767,1591,5,52,14,1692,129,4835
19,310,72040,2,0,56,1,2,1,3995,1735,1515,5,37,6,1248,74,4000
1,10,6000,6,0,15,1,2,2,4633,1811,1429,5,57,6,1998,248,5200
12,788,6200,6,1,36,1,2,1,3995,1790,1647,5,45,3,998,118,6000
21,713,44000,6,0,45,4,2,2,5226,2120,1479,5,90,13,5461,368,6300
27,795,6900,6,0,36,1,2,1,4861,1864,1483,5,66,4,1798,177,5100
21,345,2500,6,0,51,1,2,2,5063,1860,1494,5,80,3,1991,194,5800
31,640,68000,6,0,15,1,2,1,3971,1682,1469,5,45,9,1197,103,5000
19,913,36000,2,1,54,1,2,1,3995,1790,1640,5,48,7,1248,89,4000
8,752,19000,6,1,1,1,2,1,3610,1645,1560,5,35,4,1086,68,5500
21,346,10000,2,0,11,1,2,2,5063,1860,1494,5,80,6,1950,192,3800
14,682,35000,2,0,56,1,2,0,4999,2220,1835,5,105,6,2993,244,4000
17,264,6400,2,0,15,1,2,1,3821,1727,1414,5,44,6,1496,114,4000
6,410,34000,2,0,11,1,2,0,4903,1869,1837,7,80,6,3198,197,3000
25,329,35000,2,0,15,3,2,1,4315,1822,1695,5,50,9,1461,108,3900
19,915,46000,2,0,45,1,2,1,3995,1790,1640,5,48,6,1248,89,4000
27,692,83000,2,1,10,1,2,1,4386,1699,1466,5,55,9,1598,105,4400
6,370,54000,2,1,45,4,2,1,3999,1765,1708,5,52,12,1498,89,3750
12,784,42000,6,1,1,1,2,1,4315,1800,1645,5,50,5,1497,113,6300
19,373,41441,6,1,6,1,2,2,3675,1475,1800,5,40,5,1196,73,6000
19,913,48174,2,1,68,1,2,1,3995,1790,1640,5,48,7,1248,89,4000
6,360,62591,2,1,45,1,2,1,3998,1765,1647,5,52,9,1498,99,3750
7,574,48650,6,0,45,1,2,1,3955,1694,1544,5,40,8,1199,89,6000
19,720,52245,2,1,56,1,2,1,4300,1785,1595,5,48,8,1248,89,4000
21,345,7500,6,0,15,1,2,2,5063,1860,1494,5,80,4,1991,194,5800
8,403,65000,2,1,35,1,2,1,3985,1734,1505,5,45,8,1396,89,4000
19,937,43297,6,1,37,1,2,1,3599,1495,1700,5,35,10,998,67,6200
19,818,44710,6,1,56,1,2,1,3850,1695,1530,5,42,6,1197,83,6000
25,460,62000,2,1,39,1,2,1,4618,1813,1488,5,67,12,1461,108,4000
0,55,59267,2,0,36,1,2,1,4726,1842,1427,5,54,8,1968,188,4200
19,817,69000,6,1,27,1,2,1,3850,1695,1530,5,42,14,1197,85,6000
19,804,75000,6,1,32,1,0,1,3995,1695,1555,5,42,8,1197,83,6000
8,517,52236,6,1,69,1,2,1,3765,1660,1520,5,43,5,1197,81,6000
27,583,47000,2,0,45,1,2,1,4697,1882,1665,7,63,5,1692,129,4835
0,36,15530,2,0,22,1,2,1,4456,1796,1416,5,50,6,1968,141,3500
19,802,64000,2,1,0,1,2,1,3995,1695,1555,5,42,11,1248,74,4000
8,516,35000,6,0,36,1,2,1,3805,1680,1520,5,37,5,1197,82,6000
30,462,92000,2,1,39,1,2,2,4795,1855,1835,7,80,6,2755,174,3400
0,51,18000,6,0,45,1,2,1,4726,1842,1427,5,54,7,1395,148,5000
7,576,50000,6,1,36,1,2,1,3955,1694,1544,5,40,9,1199,89,6000
21,477,2000,6,0,33,1,2,2,4658,1890,1644,5,66,3,1991,194,5500
0,48,72000,2,0,24,1,2,1,4280,1767,1591,5,52,12,1692,129,4835
21,482,16000,2,0,33,1,2,0,4819,2141,1796,5,93,9,2143,201,3800
21,470,103890,2,0,39,3,2,0,5120,1934,1850,7,100,10,2987,258,3600
19,196,71000,6,1,40,1,2,1,3600,1600,1560,5,35,7,998,67,6000
18,846,12000,2,1,40,1,2,0,3985,1820,1844,4,57,4,2184,130,3750
30,461,93000,2,0,44,1,2,2,4795,1855,1835,7,80,9,2755,174,3400
8,417,63000,6,1,40,3,2,1,3495,1550,1500,5,32,12,814,56,5500
19,818,10000,6,1,42,1,2,1,3850,1695,1530,5,42,5,1197,83,6000
12,778,33828,2,0,45,1,2,1,4315,1800,1645,5,50,5,1493,114,4000
19,933,48000,0,1,45,1,2,1,3655,1620,1675,5,60,6,998,58,5500
19,920,71000,2,1,15,1,2,1,3995,1790,1640,5,48,8,1248,89,4000
18,1001,18000,2,0,15,1,2,1,4695,1890,1755,7,60,3,2184,182,3500
19,931,50000,0,1,15,1,2,1,3655,1620,1675,5,60,6,998,58,5500
8,518,48000,6,1,15,1,2,1,3765,1660,1520,5,43,10,1197,81,6000
8,399,4000,6,0,32,1,2,1,3995,1775,1505,5,37,3,1197,87,6000
7,224,73000,6,1,15,3,2,1,4420,1695,1480,5,42,15,1497,118,6600
30,469,170669,2,0,45,1,2,1,4705,1840,1850,7,80,12,2982,171,3600
8,901,68000,2,1,39,1,2,1,4370,1700,1475,5,43,11,1582,128,4000
1,12,70000,2,0,12,3,2,2,4899,2094,1464,5,65,10,1995,190,4000
8,1035,57654,6,1,76,1,2,1,3995,1760,1555,5,45,10,1197,82,6000
19,88,22000,6,1,40,1,2,1,3545,1490,1475,5,35,6,998,67,6000
31,885,80000,2,1,10,3,2,1,4280,1767,1591,5,52,13,1692,129,4835
19,980,41792,6,1,56,1,2,1,4445,1775,1700,6,45,6,1462,103,6000
1,947,41000,2,0,27,1,2,1,4439,1821,1612,5,51,8,1995,188,4000
21,470,107021,2,0,15,3,2,0,5120,1934,1850,7,100,12,2987,258,3600
12,776,17000,6,1,6,1,2,1,4315,1800,1645,5,50,6,1353,138,6000
19,90,57993,6,0,27,1,2,1,3545,1490,1475,5,35,6,998,67,6000
29,857,18000,3,0,27,1,2,1,3993,1677,1532,5,52,4,1692,129,4835
19,129,32000,6,1,44,1,2,1,3995,1745,1500,5,37,7,1197,83,6000
30,274,25914,6,0,56,1,1,1,4620,1775,1475,5,55,7,1798,138,6400
10,971,49235,2,0,6,1,2,1,4280,1767,1591,5,52,11,1692,129,4835
0,676,4500,6,0,15,1,2,0,5064,1970,1703,7,85,3,2995,335,5200
19,87,114000,6,1,5,3,2,1,3620,1475,1460,5,35,11,998,67,6200
18,984,105000,2,0,45,3,2,1,4585,1890,1785,7,70,9,2179,138,3750
19,912,45000,2,1,30,1,2,1,3995,1790,1640,5,48,9,1248,89,4000
19,804,30183,6,1,45,1,2,1,3995,1695,1555,5,42,11,1197,85,6000
31,636,78000,2,1,58,4,2,1,4280,1767,1591,5,52,13,1692,129,4835
19,937,73190,6,1,48,3,2,1,3599,1495,1700,5,35,9,998,67,6200
1,949,13120,6,0,56,1,2,1,4447,1821,1598,5,51,3,1998,189,5000
8,380,64000,6,1,14,1,2,1,4530,1775,1470,5,56,11,1797,147,6500
7,226,140000,2,1,27,1,2,1,4440,1695,1495,5,40,11,1498,99,3600
19,211,39000,6,1,15,1,2,1,4490,1730,1485,5,43,10,1373,91,6000
23,608,56918,6,0,12,3,2,1,3825,1665,1530,5,41,11,1198,76,6000
19,310,55000,2,0,15,1,2,1,3995,1735,1515,5,37,7,1248,74,4000
8,891,42000,2,1,45,1,2,1,3995,1770,1605,5,45,6,1396,89,4000
31,861,25000,6,0,45,1,2,0,4701,1839,1674,7,60,4,1984,188,4200
30,549,28000,2,1,56,1,2,2,4735,1830,1795,8,55,6,2393,148,3400
